base_id,condition,label,hop_depth,error_type,peak_entropy,mean_entropy,early_entropy,min_confidence,mean_vocab_gap,logprob_uncertainty,hedged,hedge_count,overconfident,overconf_count,verbalized_conf,is_absurd,final_correct_clean,final_correct_error,final_degraded,prompt_len,n_tokens_gen,generated_text
planning_budget_0002,clean,0,4,,0.98828125,0.150447871204672,0.09978707054515326,0.609375,0.9171809811097147,0.05399654151246216,False,0,False,0,,False,False,False,False,146,41,"Since the maximum limit per department is 200, even though HR requested 250, you can only allocate up to the maximum limit. Therefore, allocate 200 to HR.

"
planning_budget_0002,error_standard,1,4,constraint_violation,0.98828125,0.150447871204672,0.09978707054515326,0.609375,0.9171809811097147,0.05399654151246216,False,0,False,0,,False,False,False,False,146,41,"Since the maximum limit per department is 200, even though HR requested 250, you can only allocate up to the maximum limit. Therefore, allocate 200 to HR.

"
planning_budget_0002,error_verbalized,1,4,constraint_violation,1.875,0.3020809657175436,0.35700664507767216,0.291015625,0.8020423911817199,0.1758923559967459,False,0,False,0,,False,False,False,False,190,33,"Answer: Since the maximum limit per department is 200, HR can only be allocated 200, even though they requested 250.
"
2hop_fractions_0039,clean,0,2,,1.4921875,0.24393785796040232,0.28868110553859766,0.447265625,0.8487595004500215,0.10723597357527768,False,0,False,0,,True,False,False,False,127,36,"Step 2: If 6 slices are eaten out of 16, then the number of slices remaining is 16 - 6 = 10 slices. 

"
2hop_fractions_0039,error_standard,1,2,wrong_percentage_base,2.140625,0.25278373131155163,0.3230828960848157,0.2451171875,0.8388677944677229,0.15386854178978948,False,0,False,0,,False,False,False,False,129,29,"Correction: 3 people each eat 2 slices, so a total of \(3 \times 2 = 6\) slices are eaten.

"
2hop_fractions_0039,error_verbalized,1,2,wrong_percentage_base,1.3359375,0.16613204838699858,0.27519428281275393,0.466796875,0.899482246751969,0.06905076670304702,False,0,False,0,,True,False,False,False,173,56,"Step 2: If 6 slices were eaten out of 16, then 16 - 6 = 10 slices remain. The fraction of the biscuit that remains is 10/16, which can be simplified to 5/8.

"
2hop_fractions_0032,clean,0,2,,1.03125,0.1917159919772685,0.294498474765463,0.55078125,0.8676254676154013,0.08723600489913218,False,0,False,0,,True,False,False,False,124,51,"Step 2: Since 9 slices are eaten out of 10, the number of slices remaining is 10 - 9 = 1 slice. Therefore, the fraction of the pizza that remains is 1/10.
"
2hop_fractions_0032,error_standard,1,2,wrong_unit,2.15625,0.3090759265730318,0.39190634968690574,0.2412109375,0.8117856754522328,0.17939684229097055,False,0,False,0,,False,False,False,False,126,29,"Correction: 3 people each eat 3 slices, so in total, they eat \(3 \times 3 = 9\) slices.

"
2hop_fractions_0032,error_verbalized,1,2,wrong_unit,1.1796875,0.18570532520541544,0.22114293952718073,0.458984375,0.8852284787548746,0.07921058436760028,False,0,False,0,,False,False,False,False,170,36,"Step 2: If 9 slices are eaten out of 10, then 1 slice remains. The fraction of the pizza that remains is 1/10.

"
3hop_multi_stage_geometry_0006,clean,0,3,,1.2890625,0.18181668989698319,0.1793362625707232,0.359375,0.8636504945580089,0.11394187933556088,False,0,False,0,,False,False,False,False,150,42,"Step 2: Since each tile is 1 m × 1 m, the area covered by 21 tiles is 21 × 1 m² = 21 m².
"
